AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
13075095,13075,Nadrensee,AfD,blue,0.08,0.07,0.09,0.09,0.11,0.14,0.14,1387,13.6,49,3,111,46.2,Landgemeinde
13075105,13075,Pasewalk,Linke,Linke,0.17,0.23,0.24,0.23,0.28,0.32,0.24,1387,13.6,17.1,3,111,46.2,Kleinstadt
13075126,13075,Schönwalde,AfD,blue,0.09,0.1,0.08,0.09,0.09,0.1,0.12,1387,13.6,26,3,111,46.2,Landgemeinde
13075130,13075,Strasburg,Linke,Linke,0.18,0.25,0.24,0.2,0.31,0.33,0.27,1387,13.6,18.7,3,111,46.2,Landgemeinde
13075131,13075,Torgelow,Linke,Linke,0.2,0.28,0.24,0.2,0.3,0.33,0.25,1387,13.6,10.4,3,111,46.2,Kleinstadt
13076015,13076,Borkow,Linke,Linke,0.12,0.18,0.28,0.19,0.36,0.4,0.27,1547,8.4,18,3,106,46.2,Landgemeinde
13076023,13076,Bülow,Linke,Linke,0.15,0.23,0.24,0.17,0.32,0.35,0.4,1547,8.4,26,3,106,46.2,Landgemeinde
13076029,13076,Demen,Linke,Linke,0.33,0.43,0.32,0.2,0.28,0.33,0.28,1547,8.4,18.5,3,106,46.2,Landgemeinde
13076051,13076,Granzin,Linke,Linke,0.09,0.2,0.26,0.17,0.31,0.4,0.31,1547,8.4,34.6,3,106,46.2,Kleinstadt
13076065,13076,Hülseburg,AfD,blue,0.1,0.13,0.09,0.11,0.11,0.11,0.12,1547,8.4,28,3,106,46.2,Landgemeinde
13076078,13076,Kuhlen-Wendorf,Linke,Linke,0.12,0.22,0.3,0.2,0.32,0.42,0.32,1547,8.4,16,3,106,46.2,Landgemeinde
13076128,13076,Sternberg,Linke,Linke,0.18,0.28,0.28,0.18,0.28,0.33,0.27,1547,8.4,16.2,3,106,46.2,Landgemeinde
13076135,13076,Techentin,Linke,Linke,0.12,0.27,0.28,0.21,0.28,0.36,0.25,1547,8.4,28,3,106,46.2,Landgemeinde
13076148,13076,Weitendorf,Linke,Linke,0.18,0.3,0.33,0.24,0.36,0.4,0.27,1547,8.4,20,3,106,46.2,Landgemeinde
14521030,14521,Aue,Linke,Linke,0.11,0.2,0.23,0.18,0.28,0.31,0.24,1514,7.9,26.3,1.5,44,47.8,Kleinstadt
14521180,14521,Elterlein,AfD,blue,0.1,0.11,0.1,0.11,0.11,0.13,0.14,1514,7.9,55.2,1.5,44,47.8,Kleinstadt
