"KRS","KRS_Name","Einwohner","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"07315","Mainz","206991",144870,109400,108051,38903,28444,6937,6522,16795,0,2985,426,0,346,947,0,0,0,0,0,0,0,49,0,0,4662,0,165,0,0,661,0,209,0,36.004,26.325,6.42,6.036,15.544,0,2.763,0.394,0,0.32,0.876,0,0,0,0,0,0,0,0.045,0,0,4.315,0,0.153,0,0,0.612,0,0.193,0,75.5159798439981,"West"
"07316","Neustadt an der Weinstraße","52564",41459,30794,30298,13471,7333,1804,1448,3039,0,737,320,0,77,67,0,0,0,0,0,0,0,9,0,0,1351,0,46,0,0,500,0,96,0,44.462,24.203,5.954,4.779,10.03,0,2.433,1.056,0,0.254,0.221,0,0,0,0,0,0,0,0.03,0,0,4.459,0,0.152,0,0,1.65,0,0.317,0,74.2757905400516,"West"
"07317","Pirmasens","40046",32266,20586,20018,8153,5945,1003,1515,730,0,533,335,0,490,37,0,0,0,0,0,0,0,7,0,0,921,0,42,0,0,239,0,68,0,40.728,29.698,5.01,7.568,3.647,0,2.663,1.673,0,2.448,0.185,0,0,0,0,0,0,0,0.035,0,0,4.601,0,0.21,0,0,1.194,0,0.34,0,63.8009049773756,"West"
"07318","Speyer","49855",36773,26337,25899,10393,6654,1290,1735,2688,0,738,206,0,298,92,0,0,0,0,0,0,0,5,0,0,1372,0,50,0,0,283,0,95,0,40.129,25.692,4.981,6.699,10.379,0,2.85,0.795,0,1.151,0.355,0,0,0,0,0,0,0,0.019,0,0,5.298,0,0.193,0,0,1.093,0,0.367,0,71.6204824191662,"West"
"07319","Worms","81010",59536,40337,39509,15201,12137,2028,2326,3039,0,894,670,0,180,97,0,0,0,0,0,0,0,15,0,0,2419,0,81,0,0,326,0,96,0,38.475,30.72,5.133,5.887,7.692,0,2.263,1.696,0,0.456,0.246,0,0,0,0,0,0,0,0.038,0,0,6.123,0,0.205,0,0,0.825,0,0.243,0,67.7522843321688,"West"
"07320","Zweibrücken","34011",26956,17568,17193,6388,5359,842,1408,1075,0,518,295,0,109,64,0,0,0,0,0,0,0,6,0,0,836,0,27,0,0,182,0,84,0,37.155,31.17,4.897,8.189,6.253,0,3.013,1.716,0,0.634,0.372,0,0,0,0,0,0,0,0.035,0,0,4.862,0,0.157,0,0,1.059,0,0.489,0,65.1728743136964,"West"
"07331","Alzey-Worms","125998",96910,72121,70868,27716,21692,4346,3375,5503,0,1474,1126,0,258,246,0,0,0,0,0,0,0,14,0,0,3965,0,125,0,0,841,0,187,0,39.109,30.609,6.133,4.762,7.765,0,2.08,1.589,0,0.364,0.347,0,0,0,0,0,0,0,0.02,0,0,5.595,0,0.176,0,0,1.187,0,0.264,0,74.420596429677,"West"
"07332","Bad Dürkheim","131530",104815,79052,77842,33468,21690,4731,3506,5792,0,1540,927,0,275,193,0,0,0,0,0,0,0,23,0,0,3723,0,184,0,0,1487,0,303,0,42.995,27.864,6.078,4.504,7.441,0,1.978,1.191,0,0.353,0.248,0,0,0,0,0,0,0,0.03,0,0,4.783,0,0.236,0,0,1.91,0,0.389,0,75.4205027906311,"West"
"07333","Donnersbergkreis","74962",58996,41979,41139,15045,13469,2008,2522,2902,0,1073,966,0,157,95,0,0,0,0,0,0,0,11,0,0,1789,0,104,0,0,860,0,138,0,36.571,32.74,4.881,6.13,7.054,0,2.608,2.348,0,0.382,0.231,0,0,0,0,0,0,0,0.027,0,0,4.349,0,0.253,0,0,2.09,0,0.335,0,71.155671570954,"West"
"07334","Germersheim","126266",94121,68219,67047,29524,17419,3741,3104,4668,0,1689,934,0,798,292,0,0,0,0,0,0,0,24,0,0,3462,0,139,0,0,1053,0,200,0,44.035,25.98,5.58,4.63,6.962,0,2.519,1.393,0,1.19,0.436,0,0,0,0,0,0,0,0.036,0,0,5.164,0,0.207,0,0,1.571,0,0.298,0,72.4801053962452,"West"
