KRS,Name,Art,Einwohner,CDU,SPD,FDP,DIE.LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis.21.RRP,RENTNER,BP,PBC,BüSo,DIE.VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro.Deutschland,DIE.RECHTE,DIE.FRAUEN,FREIE.WÄHLER,Partei.der.Nichtwähler,PARTEI.DER.VERNUNFT,Die.PARTEI,Wahlbeteiligung,ost_west,Medianeinkommen,Arbeitslosenquote,Ausländeranteil,Schulabgänger.ohne.Abschluss,Kriminalität,Mietpreis,Mietsteigerung,Ländlichkeit
3453,Cloppenburg,Landkreis,162350,62.936,20.557,4.355,2.973,3.818,0,1.114,0.608,0.443,0.031,0,0,0,0,0,0.232,0,0,0.011,0,0,2.443,0,0.073,0,0,0.408,0,0,0,69.48458533,West,2512,5.6,7.1,4.3,4796,5.61,13.9,79.5
3454,Emsland,Landkreis,315757,60.389,22.206,4.331,2.978,4.753,0,1.364,0.547,0.494,0.037,0,0,0,0,0,0.062,0,0,0.011,0,0,2.499,0,0.087,0,0,0.242,0,0,0,73.93554518,West,2828,3.5,7.6,5.3,5804,5.8,14.2,61
3455,Friesland,Landkreis,96937,37.657,36.48,4.684,4.956,7.769,0,1.502,0.824,0.929,0.067,0,0,0,0,0,0.067,0,0,0.04,0,0,4.111,0,0.096,0,0,0.817,0,0,0,73.45503516,West,2695,6,2.6,3.5,5789,5.73,15.9,30.1
3456,Grafschaft Bentheim,Landkreis,134329,50.756,30.675,4.163,3.244,5.828,0,1.465,0.465,0.464,0.027,0,0,0,0,0,0.108,0,0,0.014,0,0,2.535,0,0.084,0,0,0.172,0,0,0,74.15803578,West,2686,4.4,12.3,5.6,6186,5.97,12.4,49.6
3457,Leer,Landkreis,165809,38.667,38.612,3.445,4.886,6.965,0,1.408,0.941,0.722,0.062,0,0,0,0,0,0.233,0,0,0.017,0,0,3.4,0,0.1,0,0,0.543,0,0,0,71.18523997,West,2622,6.5,5.7,6.9,5991,5.82,14.2,24
3458,Oldenburg,Landkreis,126798,41.184,30.101,5.977,5.2,9.147,0,1.552,0.868,0.824,0.047,0,0,0,0,0,0.063,0,0,0.017,0,0,4.146,0,0.108,0,0,0.765,0,0,0,75.54957787,West,2538,4.7,5.7,4.6,5001,6.22,15.7,60.9
3459,Osnabrück,Landkreis,351316,48.325,29.503,4.305,3.958,7.729,0,1.565,0.62,0.538,0.029,0,0,0,0,0,0.267,0,0,0.014,0,0,2.744,0,0.076,0,0,0.327,0,0,0,74.2901122,West,2680,4,5.7,4.9,6793,5.68,13.4,38.5
3460,Vechta,Landkreis,136184,63.47,18.894,4.952,2.588,4.742,0,1.277,0.537,0.45,0.036,0,0,0,0,0,0.088,0,0,0.017,0,0,2.233,0,0.063,0,0,0.654,0,0,0,72.99089569,West,2675,3.9,8.3,5.8,5297,6.75,32,29.3
3461,Wesermarsch,Landkreis,88765,36.947,38.572,4.686,5.014,7.548,0,1.349,0.855,0.803,0.05,0,0,0,0,0,0.021,0,0,0.036,0,0,3.515,0,0.084,0,0,0.523,0,0,0,69.00774382,West,3264,7.4,5.4,4.3,5596,4.76,7.6,45.7
3462,Wittmund,Landkreis,56539,42.081,35.838,4.494,3.577,6.741,0,1.224,0.833,0.805,0.048,0,0,0,0,0,0.071,0,0,0.016,0,0,3.583,0,0.106,0,0,0.583,0,0,0,69.14648844,West,2483,7,3.2,3.6,5847,5.28,13.5,100
